,headline,city,latitude,longitude,countrycode,cluster
322,Hepatitis D has Arrived in Grenoble,Grenoble,45.17869,5.71479,FR,2
323,West Nile Virus Symptoms Spread all over Yerevan,Yerevan,40.18111,44.51361,AM,12
324,Zika Outbreak in Sincelejo,Sincelejo,9.30472,-75.39778000000001,CO,0
325,Rumors about HIV spreading in Montpellier have been refuted,Montpellier,43.61092,3.8772300000000004,FR,2
326,Praia tests new cure for Pneumonia,Praia,14.93152,-23.512539999999998,CV,6
328,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,Lakewood,39.70471,-105.08136999999999,US,0
329,Zika spreads to Kuching,Kuching,1.55,110.33333,MY,4
330,Spike of Rotavirus Cases in Omaha,Omaha,41.25626,-95.94043,US,0
331,Tuberculosis re-emerges in Silver Springs,Springs,-26.25,28.4,ZA,9
332,Will West Nile Virus vaccine help Coronado?,Coronado,32.68589,-117.18308999999999,US,0
333,Zika case confirmed in Lorain,Lorain,41.45282,-82.18236999999999,US,0
334,Chickenpox Hits Simpsonville,Simpsonville,34.73706,-82.25428000000001,US,0
335,Framingham Residents Receive Measles vaccine,Framingham,42.27926,-71.41617,US,0
336,Rumors about Mad Cow Disease Brighton have been Refuted,Brighton,50.828379999999996,-0.13947,GB,2
337,Zika case reported in Jacobina,Jacobina,-11.18143,-40.51372,BR,1
338,Bridgeport authorities confirmed the spread of West Nile Virus,Bridgeport,41.17923,-73.18945,US,0
340,Measles Vaccine is now Required in Wailuku,Wailuku,20.89133,-156.50603999999998,US,-1
341,Zika symptoms spotted in Surat,Surat,21.19594,72.83023,IN,8
343,More contaminated cattle reported in Bedford,Bedford,52.13459,-0.46631999999999996,GB,2
344,Zika in Tamarac!,Tamarac,26.21286,-80.24977,US,0
345,Will Measles vaccine help Milford?,Milford,41.22232,-73.0565,US,0
346,Spike of Norovirus Cases in Huddersfield,Huddersfield,53.64904,-1.7841599999999997,GB,2
347,Rhinovirus Hits Bakersfield,Bakersfield,35.373290000000004,-119.01871000000001,US,0
348,Lower Hospitalization in Papeete after Measles Vaccine becomes Mandatory,Papeete,-17.537329999999997,-149.5665,PF,-1
349,Zika arrives in Udon Thani,Udon Thani,17.415670000000002,102.78589000000001,TH,4
350,Spike of Dengue Cases in Stockholm,Stockholm,59.33258000000001,18.0649,SE,2
351,More people in Berkeley are infected with Swine Flu every year,Berkeley,37.871590000000005,-122.27275,US,0
353,Zika only the latest mosquito-borne threat to New Orleans,New Orleans,29.95465,-90.07507,US,0
354,Will Swine Flu vaccine help Annapolis?,Annapolis,38.97845,-76.49218,US,0
355,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory,Monroe,32.50931,-92.1193,US,0
356,New medicine wipes out Dengue in Saginaw,Saginaw,43.419470000000004,-83.95081,US,0
357,Spike of Rhinovirus Cases in Sevierville,Sevierville,35.86815,-83.56184,US,0
358,Duisburg up in Arms over Mad Cow Disease,Duisburg,51.43247,6.765160000000001,DE,2
359,New medicine wipes out Mumps in Saint Charles,Saint Charles,38.78394,-90.48123000000001,US,0
360,Case of Chikungunya Reported in Gaithersburg,Gaithersburg,39.143440000000005,-77.20137,US,0
361,How to Avoid Respiratory Syncytial Virus in San Bernardino,San Bernardino,34.108340000000005,-117.28976999999999,US,0
362,Laventille authorities confirmed the spread of Rhinovirus,Laventille,10.64917,-61.49889,TT,0
363,More Zika patients reported in Waco,Waco,31.549329999999998,-97.14667,US,0
364,Will Herpes vaccine help Newcastle?,Newcastle,-27.757959999999997,29.9318,ZA,9
365,Erie County sets Zika traps,Erie,42.129220000000004,-80.08506,US,0
367,How to Avoid Norovirus in Greenville,Greenville,35.61266,-77.36635,US,0
368,More Zika patients reported in Calumpang,Calumpang,14.6228,121.0897,PH,4
369,Zika symptoms spotted in Quisqueya,Quisqueya,18.55542,-69.40814,DO,0
370,Rumors about Hepatitis D Spreading in Montreal have been Refuted,Montreal,45.50884,-73.58781,CA,0
371,Zika symptoms spotted in Fortaleza,Fortaleza,-3.7172199999999997,-38.54306,BR,1
372,Rumors about Bronchitis spreading in Bundaberg have been refuted,Bundaberg,-24.86621,152.3479,AU,5
373,Hepatitis A re-emerges in Stamford,Stamford,41.05343,-73.53873,US,0
374,Schools in Huntington Closed Due to Rotavirus Outbreak,Huntington,38.41925,-82.44515,US,0
375,Will Mad Cow Vaccine Help Bristol?,Bristol,51.45523,-2.59665,GB,2
376,Chickenpox Comes to Stillwater,Stillwater,36.11561,-97.05837,US,0
377,The Spread of Meningitis in Imperial has been Confirmed,Imperial,-13.05927,-76.35269,PE,0
380,Case of Measles Reported in Springdale,Springdale,36.18674,-94.12881,US,0
381,Norwalk Encounters Severe Symptoms of Malaria,Norwalk,33.90224,-118.08173000000001,US,0
382,Zika arrives in Orange City,Orange,33.78779,-117.85311000000002,US,0
383,Pilsen Encounters Severe Symptoms of Malaria,Pilsen,49.74747,13.37759,CZ,2
384,Will Hepatitis B vaccine help La Paz?,La Paz,-16.5,-68.15,BO,0
385,Zika Outbreak in Puducherry,Puducherry,11.933810000000001,79.82979,IN,8
386,More Zika patients reported in Carrollton,Carrollton,32.95373,-96.89028,US,0
387,Will Rabies vaccine help Tangier?,Tangier,35.76727,-5.79975,MA,2
388,Zika symptoms spotted in Iquitos,Iquitos,-3.7491199999999996,-73.25383000000001,PE,0
389,West Nile Virus Exposure in Racine,Racine,42.72613,-87.78285,US,0
390,The Spread of Hepatitis E in Lansing has been Confirmed,Lansing,42.73253,-84.55553,US,0
391,West Nile Virus Exposure in Alpharetta,Alpharetta,34.075379999999996,-84.29409,US,0
392,Pedro Juan Caballero Encounters Severe Symptoms of Pneumonia,Pedro Juan Caballero,-22.547220000000003,-55.73333,PY,1
393,More Zika patients reported in Melbourne,Melbourne,-37.814,144.96331999999998,AU,5
394,Zika Troubles come to La Libertad,La Libertad,-2.233,-80.91039,EC,0
395,Herpes Vaccine is now Required in Mattoon,Mattoon,39.483090000000004,-88.37283000000001,US,0
396,Kent is infested with Rabies,Kent,47.38093,-122.23483999999999,US,0
397,Zika symptoms spotted in Bonita Springs,Bonita Springs,26.339809999999996,-81.7787,US,0
398,The Spread of Malaria in Brazzaville has been Confirmed,Brazzaville,-4.26613,15.283179999999998,CG,10
399,More Zika patients reported in Fort Myers,Fort Myers,26.621679999999998,-81.84059,US,0
400,Zika spreads to Lewisville,Lewisville,33.04623,-96.99417,US,0
401,Ogden is infested with Gonorrhea,Ogden,41.223,-111.97383,US,0
402,Fort Hood Reports its First Zika Patient,Fort Hood,31.134890000000002,-97.77561,US,0
403,Huzhou Residents Receive Hepatitis B vaccine,Huzhou,30.8703,120.0933,CN,4
404,New medicine wipes out Rabies in Newburgh,Newburgh,41.50343,-74.01042,US,0
405,Iowa City Encounters Severe Symptoms of Rhinovirus,Iowa City,41.66113,-91.53017,US,0
406,Spike of Rabies Cases in Managua,Managua,12.132819999999999,-86.2504,NI,0
407,Outbreak of Zika in Santa Elena,Santa Elena,-2.22622,-80.85873000000001,EC,0
408,Mumps Hits Howard Beach,Howard Beach,40.65788,-73.83625,US,0
409,The Spread of Gonorrhea in Reno has been Confirmed,Reno,39.52963,-119.8138,US,0
410,How to Avoid Rhinovirus in Plainfield,Plainfield,40.63371,-74.40737,US,0
411,Rumors about Varicella spreading in Carlsbad have been refuted,Carlsbad,33.15809,-117.35059,US,0
412,Scranton authorities confirmed the spread of Gonorrhea,Scranton,41.40916,-75.6649,US,0
413,Mad Cow Disease Disastrous to Brussels,Brussels,50.85045,4.3487800000000005,BE,2
414,Zika spreads to Olinda,Olinda,-8.00889,-34.85528,BR,1
415,Hallandale Beach a Victim of Zika Outbreak,Hallandale Beach,25.9812,-80.14838,US,0
416,Rhinovirus re-emerges in Storrs,Storrs,41.80843,-72.24951999999999,US,0
417,Germantown authorities confirmed the spread of Chickenpox,Germantown,39.173159999999996,-77.27165,US,0
418,Rumors about Rotavirus spreading in North Platte have been refuted,North Platte,41.12389,-100.76541999999999,US,0
419,Spike of Hepatitis C Cases in Golden,Golden,39.75554,-105.2211,US,0
420,Authorities are Worried about the Spread of Hepatitis D in Ganja,Ganja,40.68278,46.36056,AZ,12
421,Dengue Exposure in Kathmandu,Kathmandu,27.701690000000003,85.3206,NP,8
422,Tuberculosis has Arrived in Fairfield,Fairfield,38.249359999999996,-122.03997,US,0
423,Outbreak of Zika in Kozhikode,Kozhikode,11.24802,75.7804,IN,8
424,Bronchitis Symptoms Spread all over Santa Fe,Santa Fe,-31.648809999999997,-60.70868000000001,AR,3
425,More Patients in Alexandria are Getting Diagnosed with Mumps,Alexandria,31.201759999999997,29.91582,EG,11
426,Pneumonia Exposure in Alhambra,Alhambra,33.49838,-112.13432,US,0
427,Hepatitis C re-emerges in Damascus,Damascus,33.5102,36.29128,SY,11
428,Lower Hospitalization in Pekanbaru after Rotavirus Vaccine becomes Mandatory,Pekanbaru,0.51667,101.44167,ID,4
430,Schools in Bentonville Closed Due to Hepatitis B Outbreak,Bentonville,36.37285,-94.20881999999999,US,0
431,Hepatitis E Hits Hammond,Hammond,41.58337,-87.50004,US,0
432,Schools in Bridgeton Closed Due to Mumps Outbreak,Bridgeton,39.42734,-75.23408,US,0
433,Biloxi Residents Recieve Chlamydia vaccine,Biloxi,30.39603,-88.88531,US,0
434,Case of Mad Cow Disease Reported in Hilden,Hilden,51.16818,6.93093,DE,2
435,Rumors about Rabies Spreading in Khartoum have been Refuted,Khartoum,15.551770000000001,32.53241,SD,11
436,Harare is infested with Pneumonia,Harare,-17.827720000000003,31.05337,ZW,9
437,Zika symptoms spotted in Sibu,Sibu,2.3,111.81667,MY,4
438,Zika arrives in Quezon,Quezon,7.7302800000000005,125.09889,PH,4
439,More Patients in Crawfordsville are Getting Diagnosed with Rabies,Crawfordsville,40.04115,-86.87445,US,0
440,Spike of Hepatitis B Cases in Greenville,Greenville,35.61266,-77.36635,US,0
441,Authorities are Worried about the Spread of Hepatitis D in Akron,Akron,41.08144,-81.51901,US,0
442,More Zika patients reported in Nuevo Laredo,Nuevo Laredo,27.476290000000002,-99.51639,MX,0
443,Bronchitis Keeps Spreading in San Mateo,San Mateo,14.6982,121.1236,PH,4
444,Zika arrives in Boca Raton,Boca Raton,26.358690000000003,-80.0831,US,0
445,Bradenton Experiences Zika Troubles,Bradenton,27.498929999999998,-82.57481999999999,US,0
446,Chlamydia Symptoms Spread all over University City,University City,38.655879999999996,-90.30928,US,0
447,Wisconsin Rapids Patient in Critical Condition after Contracting Chickenpox,Wisconsin Rapids,44.38358,-89.81735,US,0
448,Zika spreads to Kissimmee,Kissimmee,28.304679999999998,-81.41667,US,0
449,Herpes Symptoms Spread all over Fremont,Fremont,37.54827,-121.98857,US,0
450,Spike of Pneumonia Cases in The Bronx,The Bronx,40.84985,-73.86641,US,0
451,Authorities are Worried about the Spread of Hepatitis D in North Bay,North Bay,46.3168,-79.46633,CA,0
452,The Spread of Herpes in Baku has been Confirmed,Baku,40.37767,49.89201,AZ,12
453,Will Measles vaccine help Sochi?,Sochi,43.59917,39.72569,RU,12
454,Tuberculosis Symptoms Spread all over Caguas,Caguas,18.23412,-66.0485,PR,0
455,HIV has Arrived in Tacoma,Tacoma,47.25288,-122.44429,US,0
456,Malaria re-emerges in Nashua,Nashua,42.765370000000004,-71.46757,US,0
457,Arvada is infested with Syphilis,Arvada,39.80276,-105.08748,US,0
458,Spike of Syphilis Cases in West Monroe,Monroe,32.50931,-92.1193,US,0
459,More Zika patients reported in Ribeirao Preto,Ribeirao Preto,-21.1775,-47.81028,BR,1
461,Deerfield tests new cure for Measles,Deerfield,42.17114,-87.84451,US,0
462,Contaminated Meat Brings Trouble for Bonn Farmers,Bonn,50.73438,7.09549,DE,2
464,Hepatitis A re-emerges in Foster City,Foster City,37.55855,-122.27108,US,0
465,How to Avoid Tuberculosis in Santa Monica,Santa Monica,34.01945,-118.49118999999999,US,0
466,Zika reported in Fort Pierce,Fort Pierce,27.446709999999996,-80.32561,US,0
467,Authorities are Worried about the Spread of Syphilis in Pyongyang,Pyongyang,39.03385,125.75431999999999,KP,4
468,Zika spreads to Winter Park,Winter Park,28.6,-81.33924,US,0
469,Durango is infested with Hepatitis B,Durango,43.171240000000004,-2.6338,ES,2
470,Hepatitis A has not Left Staten Island,Staten Island,40.562329999999996,-74.13986,US,0
471,Mpika authorities confirmed the spread of Chikungunya,Mpika,-11.83431,31.45287,ZM,9
472,Gladstone Encounters Severe Symptoms of Dengue,Gladstone,-23.84852,151.25775,AU,5
473,Mad Cow Disease Hits London,London,51.50853,-0.12574000000000002,GB,2
474,New Milford Patient in Critical Condition after Contracting Respiratory Syncytial Virus,New Milford,40.9351,-74.01903,US,0
475,More people in Palo Alto are infected with HIV every year,Palo Alto,37.44188,-122.14301999999999,US,0
476,HIV Symptoms Spread all over Hinthada,Hinthada,17.64944,95.45705,MM,4
477,Zika symptoms spotted in Quito,Quito,-0.22985,-78.52495,EC,0
478,Vineland authorities confirmed the spread of Chlamydia,Vineland,39.48623,-75.02573000000001,US,0
479,"Sulu, Zamboanga brace for Zika",Zamboanga,6.91028,122.07388999999999,PH,4
480,More Zika patients reported in Custodia,Custodia,-8.0875,-37.64306,BR,1
481,Tupelo Residents Recieve Syphilis vaccine,Tupelo,34.258070000000004,-88.70464,US,0
483,Spanish Flu Outbreak in Lisbon,Lisbon,38.71667,-9.13333,PT,2
484,Spanish Flu Spreading through Madrid,Madrid,40.4165,-3.70256,ES,2
485,Barcelona Struck by Spanish Flu,Barcelona,41.38879,2.15899,ES,2
486,The Spread of Dengue in Yakima has been Confirmed,Yakima,46.60207,-120.5059,US,0
487,Tuberculosis Hits Luanda,Luanda,-8.83682,13.23432,AO,10
488,Will West Nile Virus vaccine help Dumai?,Dumai,1.6671099999999999,101.44315999999999,ID,4
489,Rumors about Chlamydia spreading in Redmond have been refuted,Redmond,47.67399,-122.12151000000001,US,0
490,Case of Varicella Reported in Concord,Concord,37.97798,-122.03107,US,0
491,Zika virus case reported in Rockland,Rockland,42.13066,-70.91615999999999,US,0
492,Zika investigators coming to Mankato,Mankato,44.15906,-94.00915,US,0
493,Toms River Encounters Severe Symptoms of Respiratory Syncytial Virus,Toms River,39.95373,-74.19792,US,0
494,The Spread of Malaria in Zanzibar has been Confirmed,Zanzibar,-6.16394,39.19793,TZ,7
495,Malaria Outbreak Hits Zanzibar's Tourist Industry,Zanzibar,-6.16394,39.19793,TZ,7
496,Tourist Perishes from Malaria in Arusha,Arusha,-3.3666699999999996,36.68333,TZ,7
497,Herpes Symptoms Spread all over New Kingston,New Kingston,18.00747,-76.78319,JM,0
498,More people in Yokohama are infected with Norovirus every year,Yokohama,35.43333,139.65,JP,4
499,More people in Kitwe are infected with Respiratory Syncytial Virus every year,Kitwe,-12.802430000000001,28.21323,ZM,9
500,Hepatitis D Keeps Spreading in Bismarck,Bismarck,46.80833,-100.78374000000001,US,0
501,Varicella Outbreak in Minot,Minot,48.23251,-101.29626999999999,US,0
502,Malaria has Arrived in Terrebonne,Terrebonne,45.70004,-73.64732,CA,0
503,Chikungunya Keeps Spreading in North Vancouver,North Vancouver,49.316359999999996,-123.06934,CA,0
504,Authorities are Worried about the Spread of Chickenpox in Hemet,Hemet,33.747609999999995,-116.97306999999999,US,0
507,Rumors about Hepatitis C spreading in Darien have been refuted,Darien,41.751979999999996,-87.97395,US,0
508,The Spread of West Nile Virus in Fairfield has been Confirmed,Fairfield,38.249359999999996,-122.03997,US,0
509,Princeton Encounters Severe Symptoms of Dengue,Princeton,40.34872,-74.65905,US,0
510,Norovirus Keeps Spreading in Copenhagen,Copenhagen,55.675940000000004,12.56553,DK,2
511,Wuhan is infested with Varicella,Wuhan,30.58333,114.26666999999999,CN,4
512,Zika spreads to San Luis Potosi,San Luis Potosi,22.149820000000002,-100.97916,MX,0
514,Spike of Norovirus Cases in Canberra,Canberra,-35.28346,149.12807,AU,5
515,Zika Troubles come to Greater Noida,Greater Noida,28.49615,77.53601,IN,8
516,Lower Hospitalization in Palm Springs after Hepatitis A Vaccine becomes Mandatory,Palm Springs,33.8303,-116.54529,US,0
518,Outbreak of Zika in Leesburg,Leesburg,39.11566,-77.5636,US,0
519,Authorities are Worried about the Spread of Tuberculosis in Cantu,Cantu,45.74096,9.13084,IT,2
521,New medicine wipes out HIV in Kihei,Kihei,20.76462,-156.44578,US,-1
522,Sangre Grande Residents Recieve Gonorrhea vaccine,Sangre Grande,10.58705,-61.13008000000001,TT,0
523,Outbreak of Zika in Colombo,Colombo,6.93548,79.84868,LK,8
524,Will Rotavirus vaccine help Addis Ababa?,Addis Ababa,9.02497,38.74689,ET,11
525,Stony Brook University experts discuss Zika virus,University,28.073890000000002,-82.43902,US,0
526,Lower Hospitalization in Janesville after Varicella Vaccine becomes Mandatory,Janesville,42.682790000000004,-89.01872,US,0
527,Rabies Outbreak in Altus,Altus,34.63813,-99.33398000000001,US,0
528,Miami resident suggests Zika precautions,Miami,25.77427,-80.19366,US,0
529,Zika Troubles come to Jaen,Jaen,15.3275,120.9192,PH,4
530,Hepatitis B Exposure in Edinburgh,Edinburgh,55.952059999999996,-3.1964799999999998,GB,2
531,Zika case reported in Reynosa,Reynosa,26.08061,-98.28835,MX,0
532,Schools in Tulare Closed Due to Mumps Outbreak,Tulare,36.20773,-119.34733999999999,US,0
533,More Zika patients reported in Chennai,Chennai,13.08784,80.27847,IN,8
534,Hepatitis D Keeps Spreading in Danvers,Danvers,42.57509,-70.93005,US,0
535,Authorities a Miami,Miami,25.77427,-80.19366,US,0
536,Zika case reported in Medellin,Medellin,6.2518400000000005,-75.56359,CO,0
537,Spike of Tuberculosis Cases in Albuquerque,Albuquerque,35.08449,-106.65113999999998,US,0
538,More people in Cranford are infected with Hepatitis A every year,Cranford,40.65844,-74.29959000000001,US,0
539,West Nile Virus Hits Monroe,Monroe,32.50931,-92.1193,US,0
540,Pneumonia Outbreak in Springville,Springville,40.16523,-111.61075,US,0
541,Zika arrives in San Onofre,San Onofre,9.73586,-75.52626,CO,0
542,Lung Cancer Rates Increasing in Moscow,Moscow,55.752219999999994,37.615559999999995,RU,-1
543,Rumors about Rotavirus Spreading in Joliet have been Refuted,Joliet,41.52519,-88.0834,US,0
544,More Zika patients reported in Chanthaburi,Chanthaburi,12.60961,102.10446999999999,TH,4
545,Lawrenceville is infested with Dengue,Lawrenceville,33.95621,-83.98796,US,0
546,Zika Reported in Ciudad Acuna,Ciudad Acuna,29.323220000000003,-100.95217,MX,0
547,Zika case reported in Limoeiro,Limoeiro,-7.87472,-35.45028,BR,1
548,Ibadan tests new cure for Malaria,Ibadan,7.377560000000001,3.90591,NG,10
549,Gonorrhea has Arrived in Avon Lake,Avon Lake,41.505320000000005,-82.0282,US,0
550,Pneumonia has not Left Kinshasa,Kinshasa,-4.32758,15.31357,CD,10
551,Respiratory Syncytial Virus Hits Henderson,Henderson,36.0397,-114.98194,US,0
552,More Zika patients reported in Lakeland,Lakeland,28.03947,-81.9498,US,0
553,Malaria Vaccine is now Required in Winona,Winona,44.04996,-91.63932,US,0
554,More Patients in Canton are Getting Diagnosed with Norovirus,Canton,42.30865,-83.48216,US,0
555,Ronkonkoma is infested with Chickenpox,Ronkonkoma,40.81538,-73.11233,US,0
556,Kedougou tests new cure for Hepatitis C,Kedougou,12.55561,-12.180760000000001,SN,6
557,Gonorrhea Exposure in Norwalk,Norwalk,33.90224,-118.08173000000001,US,0
558,How to Avoid Rhinovirus in Medford,Medford,42.32652,-122.87558999999999,US,0
559,Hepatitis D Symptoms Spread all over Evansville,Evansville,37.974759999999996,-87.55585,US,0
560,New medicine wipes out Herpes in Bossier City,Bossier City,32.51599,-93.73212,US,0
561,Pneumonia Exposure in San Jose,San Jose,37.33939,-121.89496000000001,US,0
562,Authorities are Worried about the Spread of Mad Cow Disease in Edinburgh,Edinburgh,55.952059999999996,-3.1964799999999998,GB,2
563,Duluth Patient in Critical Condition after Contracting Rotavirus,Duluth,46.78327,-92.10658000000001,US,0
565,Norfolk tests new cure for Herpes,Norfolk,36.84681,-76.28522,US,0
566,More Zika patients reported in Botucatu,Botucatu,-22.88583,-48.445,BR,1
567,Manassas Encounters Severe Symptoms of Measles,Manassas,38.75095,-77.47527,US,0
568,Fayetteville authorities confirmed the spread of HIV,Fayetteville,35.052659999999996,-78.87836,US,0
569,Varicella Exposure in Cambridge,Cambridge,52.2,0.11667000000000001,GB,2
570,Hepatitis A Vaccine is now Required in Fukushima,Fukushima,37.75,140.46667,JP,4
571,Zika Outbreak in South Miami,Miami,25.77427,-80.19366,US,0
572,Hepatitis D Symptoms Spread all over North Bethesda,North Bethesda,39.04455,-77.11887,US,0
573,Panama City's first Zika related death,Panama City,30.15946,-85.65983,US,0
574,West Nile Virus has Arrived in Dongguan,Dongguan,23.017970000000002,113.74866000000002,CN,4
575,Zika arrives in Belmopan,Belmopan,17.25,-88.76666999999999,BZ,0
576,Zika seminars in Yuma County,Yuma,32.72532,-114.6244,US,0
577,Rumors about Hepatitis E Spreading in Morristown have been Refuted,Morristown,36.21398,-83.29489000000001,US,0
578,Mumps Outbreak in Joplin,Joplin,37.08423,-94.51328000000001,US,0
580,Authorities are Worried about the Spread of Mumps in Corona,Corona,33.87529,-117.56643999999999,US,0
581,Schools in Danville Closed Due to Tuberculosis Outbreak,Danville,37.82159,-121.99996000000002,US,0
583,Marquette tests new cure for Hepatitis A,Marquette,46.54354,-87.39542,US,0
584,Norovirus Vaccine is now Required in Anaheim,Anaheim,33.83529,-117.9145,US,0
585,Zika Outbreak in Manaus,Manaus,-3.1019400000000004,-60.025,BR,-1
586,Zika spreads to Caucasia,Caucasia,7.98654,-75.19349,CO,0
587,Case of Malaria Reported in Aurora,Aurora,39.72943,-104.83192,US,0
588,Manchester Residents Recieve Influenza vaccine,Manchester,53.48095,-2.23743,GB,2
589,Zika spreads to Kamphaeng Phet,Kamphaeng Phet,16.483439999999998,99.52153,TH,4
590,Rotavirus Vaccine is now Required in Labasa,Labasa,-16.4332,179.36451,FJ,13
591,The Spread of Hepatitis E in Fargo has been Confirmed,Fargo,46.87719,-96.7898,US,0
592,Zika Outbreak in Mexicali,Mexicali,32.62781,-115.45446000000001,MX,0
593,West Nile Virus Keeps Spreading in Hauppauge,Hauppauge,40.82565,-73.20260999999999,US,0
594,Bronchitis Keeps Spreading in Hayward,Hayward,37.668820000000004,-122.0808,US,0
597,Zika spreads to Plant City,Plant City,28.01888,-82.11469,US,0
598,Chlamydia Exposure in Sanaa,Sanaa,15.35472,44.20667,YE,11
599,Zika Reported in North Miami Beach,North Miami Beach,25.93315,-80.16255,US,0
600,More Patients in Kensington are Getting Diagnosed with Varicella,Kensington,40.646209999999996,-73.97069,US,0
602,Case of West Nile Virus Reported in Riverside,Riverside,33.95335,-117.39616000000001,US,0
603,Northfield Encounters Severe Symptoms of Herpes,Northfield,44.4583,-93.1616,US,0
604,The Spread of Respiratory Syncytial Virus in Monroe has been Confirmed,Monroe,32.50931,-92.1193,US,0
605,How to Avoid Hepatitis B in Trenton,Trenton,40.21705,-74.74294,US,0
606,Zika Reported in Ilopango,Ilopango,13.701670000000002,-89.10944,SV,0
607,Barstow Patient in Critical Condition after Contracting Herpes,Barstow,34.898590000000006,-117.02282,US,0
608,Hepatitis D Exposure in Aswan,Aswan,24.09082,32.89942,EG,11
609,Will Gonorrhea vaccine help East Moline?,East Moline,41.50087,-90.4443,US,0
610,New medicine wipes out Influenza in Redlands,Redlands,34.05557,-117.18253999999999,US,0
611,How to Avoid Contaminated Meat when Visiting Basel,Basel,47.55839,7.57327,CH,2
612,More Zika patients reported in Kampong Speu,Kampong Speu,11.45332,104.52085,KH,4
613,Alameda Residents Recieve Rabies vaccine,Alameda,37.765209999999996,-122.24163999999999,US,0
614,Mad Cow Disease Detected in Lyon,Lyon,45.748459999999994,4.84671,FR,2
615,Memphis Encounters Severe Symptoms of Swine Flu,Memphis,35.14953,-90.04898,US,0
616,Zika Troubles come to Delray Beach,Delray Beach,26.46146,-80.07282,US,0
617,How to Avoid Chikungunya in Hampton,Hampton,37.02987,-76.34522,US,0
618,Zika Reported in Sao Jose,Sao Jose,-28.211709999999997,-49.1632,BR,1
619,Case of Norovirus Reported in Stratford,Stratford,41.184540000000005,-73.13316999999999,US,0
620,How to Avoid Hepatitis E in South Bend,South Bend,41.68338,-86.25001,US,0
621,Hepatitis C Outbreak in Bethlehem,Bethlehem,-28.23078,28.30707,ZA,9
622,Davenport is infested with Dengue,Davenport,41.52364,-90.57764,US,0
623,Rumors about Swine Flu spreading in Suzhou have been refuted,Suzhou,31.30408,120.59538,CN,4
624,Malaria Vaccine is now Required in Elyria,Elyria,41.36838,-82.10765,US,0
626,Case of Swine Flu Reported in Tbilisi,Tbilisi,41.694109999999995,44.83368,GE,12
629,Influenza Keeps Spreading in Suffolk,Suffolk,36.728359999999995,-76.58496,US,0
630,More people in Allentown are infected with Chlamydia every year,Allentown,40.60843,-75.49018000000001,US,0
631,Mad Cow Disease re-emerges in Bedford,Bedford,52.13459,-0.46631999999999996,GB,2
632,Authorities are Worried about the Spread of Hepatitis B in Yiwu,Yiwu,29.31506,120.07676000000001,CN,4
633,Zika Outbreak in Yurimaguas,Yurimaguas,-5.90181,-76.12234000000001,PE,0
634,Dengue Outbreak in Easton,Easton,40.68843,-75.22073,US,0
635,Varicella has Arrived in Milton,Milton,43.51681,-79.88294,CA,0
636,New medicine wipes out Meningitis in Sevilla,Sevilla,37.38283,-5.97317,ES,2
637,Authorities are Worried about the Spread of Varicella in Clovis,Clovis,36.82523,-119.70291999999999,US,0
638,More Zika patients reported in Fort Worth,Fort Worth,32.72541,-97.32085,US,0
639,Zika symptoms spotted in Boynton Beach,Boynton Beach,26.52535,-80.06643000000001,US,0
640,Outbreak of Zika in Portoviejo,Portoviejo,-1.0545799999999999,-80.45445,EC,0
641,Influenza Exposure in Muscat,Muscat,23.58413,58.40778,OM,-1
642,Rumors about Rabies spreading in Jerusalem have been refuted,Jerusalem,31.769040000000004,35.21633,IL,11
643,More Zika patients reported in Indang,Indang,14.195279999999999,120.87693999999999,PH,4
644,Suva authorities confirmed the spread of Rotavirus,Suva,-18.14161,178.44149,FJ,13
645,More Zika patients reported in Bella Vista,Bella Vista,18.455389999999998,-69.9454,DO,0
646,Zika Outbreak in Wichita Falls,Wichita Falls,33.913709999999995,-98.49339,US,0
